id,name,tipo_1,tipo_2,hp,atk,def,spa,spd,speed,height,weight,abilities,color,generation
1,bulbasaur,grass,poison,45,49,49,65,65,45,7,69,"overgrow,chlorophyll",green,generation-i
2,ivysaur,grass,poison,60,62,63,80,80,60,10,130,"overgrow,chlorophyll",green,generation-i
3,venusaur,grass,poison,80,82,83,100,100,80,20,1000,"overgrow,chlorophyll",green,generation-i
4,charmander,fire,,39,52,43,60,50,65,6,85,"blaze,solar-power",red,generation-i
5,charmeleon,fire,,58,64,58,80,65,80,11,190,"blaze,solar-power",red,generation-i
6,charizard,fire,flying,78,84,78,109,85,100,17,905,"blaze,solar-power",red,generation-i
7,squirtle,water,,44,48,65,50,64,43,5,90,"torrent,rain-dish",blue,generation-i
8,wartortle,water,,59,63,80,65,80,58,10,225,"torrent,rain-dish",blue,generation-i
9,blastoise,water,,79,83,100,85,105,78,16,855,"torrent,rain-dish",blue,generation-i
10,caterpie,bug,,45,30,35,20,20,45,3,29,"shield-dust,run-away",green,generation-i
11,metapod,bug,,50,20,55,25,25,30,7,99,shed-skin,green,generation-i
12,butterfree,bug,flying,60,45,50,90,80,70,11,320,"compound-eyes,tinted-lens",white,generation-i
13,weedle,bug,poison,40,35,30,20,20,50,3,32,"shield-dust,run-away",brown,generation-i
14,kakuna,bug,poison,45,25,50,25,25,35,6,100,shed-skin,yellow,generation-i
15,beedrill,bug,poison,65,90,40,45,80,75,10,295,"swarm,sniper",yellow,generation-i
16,pidgey,normal,flying,40,45,40,35,35,56,3,18,"keen-eye,tangled-feet,big-pecks",brown,generation-i
17,pidgeotto,normal,flying,63,60,55,50,50,71,11,300,"keen-eye,tangled-feet,big-pecks",brown,generation-i
18,pidgeot,normal,flying,83,80,75,70,70,101,15,395,"keen-eye,tangled-feet,big-pecks",brown,generation-i
19,rattata,normal,,30,56,35,25,35,72,3,35,"run-away,guts,hustle",purple,generation-i
20,raticate,normal,,55,81,60,50,70,97,7,185,"run-away,guts,hustle",brown,generation-i
21,spearow,normal,flying,40,60,30,31,31,70,3,20,"keen-eye,sniper",brown,generation-i
22,fearow,normal,flying,65,90,65,61,61,100,12,380,"keen-eye,sniper",brown,generation-i
23,ekans,poison,,35,60,44,40,54,55,20,69,"intimidate,shed-skin,unnerve",purple,generation-i
24,arbok,poison,,60,95,69,65,79,80,35,650,"intimidate,shed-skin,unnerve",purple,generation-i
26,raichu,electric,,60,90,55,90,80,110,8,300,"static,lightning-rod",yellow,generation-i
27,sandshrew,ground,,50,75,85,20,30,40,6,120,"sand-veil,sand-rush",yellow,generation-i
28,sandslash,ground,,75,100,110,45,55,65,10,295,"sand-veil,sand-rush",yellow,generation-i
29,nidoran-f,poison,,55,47,52,40,40,41,4,70,"poison-point,rivalry,hustle",blue,generation-i
30,nidorina,poison,,70,62,67,55,55,56,8,200,"poison-point,rivalry,hustle",blue,generation-i
31,nidoqueen,poison,ground,90,92,87,75,85,76,13,600,"poison-point,rivalry,sheer-force",blue,generation-i
32,nidoran-m,poison,,46,57,40,40,40,50,5,90,"poison-point,rivalry,hustle",purple,generation-i
33,nidorino,poison,,61,72,57,55,55,65,9,195,"poison-point,rivalry,hustle",purple,generation-i
34,nidoking,poison,ground,81,102,77,85,75,85,14,620,"poison-point,rivalry,sheer-force",purple,generation-i
35,clefairy,fairy,,70,45,48,60,65,35,6,75,"cute-charm,magic-guard,friend-guard",pink,generation-i
36,clefable,fairy,,95,70,73,95,90,60,13,400,"cute-charm,magic-guard,unaware",pink,generation-i
37,vulpix,fire,,38,41,40,50,65,65,6,99,"flash-fire,drought",brown,generation-i
38,ninetales,fire,,73,76,75,81,100,100,11,199,"flash-fire,drought",yellow,generation-i
39,jigglypuff,normal,fairy,115,45,20,45,25,20,5,55,"cute-charm,competitive,friend-guard",pink,generation-i
40,wigglytuff,normal,fairy,140,70,45,85,50,45,10,120,"cute-charm,competitive,frisk",pink,generation-i
41,zubat,poison,flying,40,45,35,30,40,55,8,75,"inner-focus,infiltrator",purple,generation-i
42,golbat,poison,flying,75,80,70,65,75,90,16,550,"inner-focus,infiltrator",purple,generation-i
43,oddish,grass,poison,45,50,55,75,65,30,5,54,"chlorophyll,run-away",blue,generation-i
44,gloom,grass,poison,60,65,70,85,75,40,8,86,"chlorophyll,stench",blue,generation-i
45,vileplume,grass,poison,75,80,85,110,90,50,12,186,"chlorophyll,effect-spore",red,generation-i
46,paras,bug,grass,35,70,55,45,55,25,3,54,"effect-spore,dry-skin,damp",red,generation-i
47,parasect,bug,grass,60,95,80,60,80,30,10,295,"effect-spore,dry-skin,damp",red,generation-i
48,venonat,bug,poison,60,55,50,40,55,45,10,300,"compound-eyes,tinted-lens,run-away",purple,generation-i
49,venomoth,bug,poison,70,65,60,90,75,90,15,125,"shield-dust,tinted-lens,wonder-skin",purple,generation-i
50,diglett,ground,,10,55,25,35,45,95,2,8,"sand-veil,arena-trap,sand-force",brown,generation-i
51,dugtrio,ground,,35,100,50,50,70,120,7,333,"sand-veil,arena-trap,sand-force",brown,generation-i
52,meowth,normal,,40,45,35,40,40,90,4,42,"pickup,technician,unnerve",yellow,generation-i
53,persian,normal,,65,70,60,65,65,115,10,320,"limber,technician,unnerve",yellow,generation-i
54,psyduck,water,,50,52,48,65,50,55,8,196,"damp,cloud-nine,swift-swim",yellow,generation-i
55,golduck,water,,80,82,78,95,80,85,17,766,"damp,cloud-nine,swift-swim",blue,generation-i
56,mankey,fighting,,40,80,35,35,45,70,5,280,"vital-spirit,anger-point,defiant",brown,generation-i
57,primeape,fighting,,65,105,60,60,70,95,10,320,"vital-spirit,anger-point,defiant",brown,generation-i
58,growlithe,fire,,55,70,45,70,50,60,7,190,"intimidate,flash-fire,justified",brown,generation-i
59,arcanine,fire,,90,110,80,100,80,95,19,1550,"intimidate,flash-fire,justified",brown,generation-i
60,poliwag,water,,40,50,40,40,40,90,6,124,"water-absorb,damp,swift-swim",blue,generation-i
61,poliwhirl,water,,65,65,65,50,50,90,10,200,"water-absorb,damp,swift-swim",blue,generation-i
62,poliwrath,water,fighting,90,95,95,70,90,70,13,540,"water-absorb,damp,swift-swim",blue,generation-i
63,abra,psychic,,25,20,15,105,55,90,9,195,"synchronize,inner-focus,magic-guard",brown,generation-i
64,kadabra,psychic,,40,35,30,120,70,105,13,565,"synchronize,inner-focus,magic-guard",brown,generation-i
65,alakazam,psychic,,55,50,45,135,95,120,15,480,"synchronize,inner-focus,magic-guard",brown,generation-i
66,machop,fighting,,70,80,50,35,35,35,8,195,"guts,no-guard,steadfast",gray,generation-i
67,machoke,fighting,,80,100,70,50,60,45,15,705,"guts,no-guard,steadfast",gray,generation-i
68,machamp,fighting,,90,130,80,65,85,55,16,1300,"guts,no-guard,steadfast",gray,generation-i
69,bellsprout,grass,poison,50,75,35,70,30,40,7,40,"chlorophyll,gluttony",green,generation-i
70,weepinbell,grass,poison,65,90,50,85,45,55,10,64,"chlorophyll,gluttony",green,generation-i
71,victreebel,grass,poison,80,105,65,100,70,70,17,155,"chlorophyll,gluttony",green,generation-i
72,tentacool,water,poison,40,40,35,50,100,70,9,455,"clear-body,liquid-ooze,rain-dish",blue,generation-i
73,tentacruel,water,poison,80,70,65,80,120,100,16,550,"clear-body,liquid-ooze,rain-dish",blue,generation-i
74,geodude,rock,ground,40,80,100,30,30,20,4,200,"rock-head,sturdy,sand-veil",brown,generation-i
75,graveler,rock,ground,55,95,115,45,45,35,10,1050,"rock-head,sturdy,sand-veil",brown,generation-i
76,golem,rock,ground,80,120,130,55,65,45,14,3000,"rock-head,sturdy,sand-veil",brown,generation-i
77,ponyta,fire,,50,85,55,65,65,90,10,300,"run-away,flash-fire,flame-body",yellow,generation-i
78,rapidash,fire,,65,100,70,80,80,105,17,950,"run-away,flash-fire,flame-body",yellow,generation-i
79,slowpoke,water,psychic,90,65,65,40,40,15,12,360,"oblivious,own-tempo,regenerator",pink,generation-i
80,slowbro,water,psychic,95,75,110,100,80,30,16,785,"oblivious,own-tempo,regenerator",pink,generation-i
81,magnemite,electric,steel,25,35,70,95,55,45,3,60,"magnet-pull,sturdy,analytic",gray,generation-i
82,magneton,electric,steel,50,60,95,120,70,70,10,600,"magnet-pull,sturdy,analytic",gray,generation-i
83,farfetchd,normal,flying,52,90,55,58,62,60,8,150,"keen-eye,inner-focus,defiant",brown,generation-i
84,doduo,normal,flying,35,85,45,35,35,75,14,392,"run-away,early-bird,tangled-feet",brown,generation-i
85,dodrio,normal,flying,60,110,70,60,60,110,18,852,"run-away,early-bird,tangled-feet",brown,generation-i
86,seel,water,,65,45,55,45,70,45,11,900,"thick-fat,hydration,ice-body",white,generation-i
87,dewgong,water,ice,90,70,80,70,95,70,17,1200,"thick-fat,hydration,ice-body",white,generation-i
88,grimer,poison,,80,80,50,40,50,25,9,300,"stench,sticky-hold,poison-touch",purple,generation-i
89,muk,poison,,105,105,75,65,100,50,12,300,"stench,sticky-hold,poison-touch",purple,generation-i
90,shellder,water,,30,65,100,45,25,40,3,40,"shell-armor,skill-link,overcoat",purple,generation-i
91,cloyster,water,ice,50,95,180,85,45,70,15,1325,"shell-armor,skill-link,overcoat",purple,generation-i
92,gastly,ghost,poison,30,35,30,100,35,80,13,1,levitate,purple,generation-i
93,haunter,ghost,poison,45,50,45,115,55,95,16,1,levitate,purple,generation-i
94,gengar,ghost,poison,60,65,60,130,75,110,15,405,cursed-body,purple,generation-i
95,onix,rock,ground,35,45,160,30,45,70,88,2100,"rock-head,sturdy,weak-armor",gray,generation-i
96,drowzee,psychic,,60,48,45,43,90,42,10,324,"insomnia,forewarn,inner-focus",yellow,generation-i
98,krabby,water,,30,105,90,25,25,50,4,65,"hyper-cutter,shell-armor,sheer-force",red,generation-i
99,kingler,water,,55,130,115,50,50,75,13,600,"hyper-cutter,shell-armor,sheer-force",red,generation-i
100,voltorb,electric,,40,30,50,55,55,100,5,104,"soundproof,static,aftermath",red,generation-i
101,electrode,electric,,60,50,70,80,80,150,12,666,"soundproof,static,aftermath",red,generation-i
102,exeggcute,grass,psychic,60,40,80,60,45,40,4,25,"chlorophyll,harvest",pink,generation-i
103,exeggutor,grass,psychic,95,95,85,125,75,55,20,1200,"chlorophyll,harvest",yellow,generation-i
104,cubone,ground,,50,50,95,40,50,35,4,65,"rock-head,lightning-rod,battle-armor",brown,generation-i
105,marowak,ground,,60,80,110,50,80,45,10,450,"rock-head,lightning-rod,battle-armor",brown,generation-i
106,hitmonlee,fighting,,50,120,53,35,110,87,15,498,"limber,reckless,unburden",brown,generation-i
107,hitmonchan,fighting,,50,105,79,35,110,76,14,502,"keen-eye,iron-fist,inner-focus",brown,generation-i
108,lickitung,normal,,90,55,75,60,75,30,12,655,"own-tempo,oblivious,cloud-nine",pink,generation-i
109,koffing,poison,,40,65,95,60,45,35,6,10,"levitate,neutralizing-gas,stench",purple,generation-i
110,weezing,poison,,65,90,120,85,70,60,12,95,"levitate,neutralizing-gas,stench",purple,generation-i
111,rhyhorn,ground,rock,80,85,95,30,30,25,10,1150,"lightning-rod,rock-head,reckless",gray,generation-i
112,rhydon,ground,rock,105,130,120,45,45,40,19,1200,"lightning-rod,rock-head,reckless",gray,generation-i
